Robert | Health: 100.0 | Strength: 500.0
Troll-16 | Health: 200.0 | Strength: 184.0
Troll-17 | Health: 200.0 | Strength: 239.0
Troll-18 | Health: 200.0 | Strength: 201.0
Troll-19 | Health: 200.0 | Strength: 216.0
Troll-20 | Health: 200.0 | Strength: 171.0
Troll-21 | Health: 200.0 | Strength: 150.0
Troll-22 | Health: 200.0 | Strength: 245.0
Troll-23 | Health: 200.0 | Strength: 205.0
Troll-24 | Health: 200.0 | Strength: 195.0
Troll-25 | Health: 200.0 | Strength: 162.0
Troll-26 | Health: 200.0 | Strength: 154.0
Troll-27 | Health: 200.0 | Strength: 210.0
Troll-28 | Health: 200.0 | Strength: 229.0
Troll-29 | Health: 200.0 | Strength: 181.0
Troll-30 | Health: 200.0 | Strength: 228.0
Troll-31 | Health: 200.0 | Strength: 194.0
Troll-32 | Health: 200.0 | Strength: 230.0
Troll-33 | Health: 200.0 | Strength: 159.0
Troll-34 | Health: 200.0 | Strength: 213.0
Troll-35 | Health: 200.0 | Strength: 173.0
Troll-36 | Health: 200.0 | Strength: 240.0
Troll-37 | Health: 200.0 | Strength: 197.0
Troll-38 | Health: 200.0 | Strength: 231.0
Troll-39 | Health: 200.0 | Strength: 180.0
Troll-40 | Health: 200.0 | Strength: 217.0
Troll-41 | Health: 200.0 | Strength: 181.0
Troll-42 | Health: 200.0 | Strength: 209.0
Troll-43 | Health: 200.0 | Strength: 249.0
Troll-44 | Health: 200.0 | Strength: 193.0
Troll-45 | Health: 200.0 | Strength: 181.0
Troll-46 | Health: 200.0 | Strength: 158.0
Troll-47 | Health: 200.0 | Strength: 240.0
Troll-48 | Health: 200.0 | Strength: 243.0
Troll-49 | Health: 200.0 | Strength: 227.0
Troll-50 | Health: 200.0 | Strength: 236.0
Troll-51 | Health: 200.0 | Strength: 172.0
Troll-52 | Health: 200.0 | Strength: 228.0
Troll-53 | Health: 200.0 | Strength: 242.0
Troll-54 | Health: 200.0 | Strength: 204.0
Troll-55 | Health: 200.0 | Strength: 161.0
Troll-56 | Health: 200.0 | Strength: 157.0
Troll-57 | Health: 200.0 | Strength: 228.0
Troll-58 | Health: 200.0 | Strength: 162.0
Troll-59 | Health: 200.0 | Strength: 196.0
Troll-60 | Health: 200.0 | Strength: 227.0
Troll-61 | Health: 200.0 | Strength: 155.0
Troll-62 | Health: 200.0 | Strength: 193.0
Troll-63 | Health: 200.0 | Strength: 242.0
Troll-64 | Health: 200.0 | Strength: 208.0
Troll-65 | Health: 200.0 | Strength: 235.0
Troll-66 | Health: 200.0 | Strength: 171.0
Troll-67 | Health: 200.0 | Strength: 219.0
Troll-68 | Health: 200.0 | Strength: 155.0
Troll-69 | Health: 200.0 | Strength: 181.0
Troll-70 | Health: 200.0 | Strength: 232.0
Troll-71 | Health: 200.0 | Strength: 153.0
Troll-72 | Health: 200.0 | Strength: 197.0
Troll-73 | Health: 200.0 | Strength: 207.0
Troll-74 | Health: 200.0 | Strength: 152.0
Troll-75 | Health: 200.0 | Strength: 249.0
Troll-76 | Health: 200.0 | Strength: 172.0
Troll-77 | Health: 200.0 | Strength: 248.0
Troll-78 | Health: 200.0 | Strength: 210.0
Troll-79 | Health: 200.0 | Strength: 237.0
Troll-80 | Health: 200.0 | Strength: 221.0
Troll-81 | Health: 200.0 | Strength: 235.0
Troll-82 | Health: 200.0 | Strength: 242.0
Troll-83 | Health: 200.0 | Strength: 193.0
Troll-84 | Health: 200.0 | Strength: 187.0
Troll-85 | Health: 200.0 | Strength: 172.0
Troll-86 | Health: 200.0 | Strength: 223.0
Troll-87 | Health: 200.0 | Strength: 237.0
Troll-88 | Health: 200.0 | Strength: 223.0
Troll-89 | Health: 200.0 | Strength: 153.0
Troll-90 | Health: 200.0 | Strength: 176.0
Troll-91 | Health: 200.0 | Strength: 203.0
Troll-92 | Health: 200.0 | Strength: 199.0
Troll-93 | Health: 200.0 | Strength: 181.0
Troll-94 | Health: 200.0 | Strength: 234.0
Troll-95 | Health: 200.0 | Strength: 239.0
Troll-96 | Health: 200.0 | Strength: 174.0
Troll-97 | Health: 200.0 | Strength: 231.0
Troll-98 | Health: 200.0 | Strength: 240.0
Troll-99 | Health: 200.0 | Strength: 166.0
Troll-100 | Health: 200.0 | Strength: 198.0
Troll-101 | Health: 200.0 | Strength: 247.0
Troll-102 | Health: 200.0 | Strength: 182.0
Troll-103 | Health: 200.0 | Strength: 241.0
Troll-104 | Health: 200.0 | Strength: 157.0
Troll-105 | Health: 200.0 | Strength: 213.0
Troll-106 | Health: 200.0 | Strength: 202.0
Troll-107 | Health: 200.0 | Strength: 167.0
Troll-108 | Health: 200.0 | Strength: 170.0
Troll-109 | Health: 200.0 | Strength: 233.0
Troll-110 | Health: 200.0 | Strength: 232.0
Troll-111 | Health: 200.0 | Strength: 222.0
Troll-112 | Health: 200.0 | Strength: 154.0
Troll-113 | Health: 200.0 | Strength: 232.0
Troll-114 | Health: 200.0 | Strength: 194.0
Troll-115 | Health: 200.0 | Strength: 176.0
Troll-116 | Health: 200.0 | Strength: 195.0
Troll-117 | Health: 200.0 | Strength: 229.0
Troll-118 | Health: 200.0 | Strength: 237.0
Troll-119 | Health: 200.0 | Strength: 197.0
Troll-120 | Health: 200.0 | Strength: 180.0
Troll-121 | Health: 200.0 | Strength: 234.0
Troll-122 | Health: 200.0 | Strength: 224.0
Troll-123 | Health: 200.0 | Strength: 194.0
Troll-124 | Health: 200.0 | Strength: 213.0
Troll-125 | Health: 200.0 | Strength: 150.0
Troll-126 | Health: 200.0 | Strength: 211.0
Troll-127 | Health: 200.0 | Strength: 240.0
Troll-128 | Health: 200.0 | Strength: 194.0
Troll-129 | Health: 200.0 | Strength: 243.0
Troll-130 | Health: 200.0 | Strength: 175.0
Troll-131 | Health: 200.0 | Strength: 155.0
Troll-132 | Health: 200.0 | Strength: 224.0
Troll-133 | Health: 200.0 | Strength: 248.0
Troll-134 | Health: 200.0 | Strength: 193.0
Troll-135 | Health: 200.0 | Strength: 235.0
Troll-136 | Health: 200.0 | Strength: 204.0
Troll-137 | Health: 200.0 | Strength: 181.0
Troll-138 | Health: 200.0 | Strength: 248.0
Troll-139 | Health: 200.0 | Strength: 200.0
Troll-140 | Health: 200.0 | Strength: 173.0
Troll-141 | Health: 200.0 | Strength: 176.0
Troll-142 | Health: 200.0 | Strength: 245.0
Troll-143 | Health: 200.0 | Strength: 234.0
Troll-144 | Health: 200.0 | Strength: 164.0
Troll-145 | Health: 200.0 | Strength: 160.0
Troll-146 | Health: 200.0 | Strength: 210.0
Troll-147 | Health: 200.0 | Strength: 211.0
Troll-148 | Health: 200.0 | Strength: 167.0
Troll-149 | Health: 200.0 | Strength: 225.0
